Make,Price,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Age
Maruti Suzuki,770000,112000,Diesel,Manual,Chennai,Gold,First,Individual,1248,89,200,FWD,4265.0,1695.0,1685.0,7.0,45.0,10
Hyundai,450000,53300,Petrol,Manual,Pune,Maroon,First,Individual,1197,81,114,FWD,3765.0,1660.0,1520.0,5.0,43.0,9
Honda,840000,34000,Petrol,Manual,Delhi,White,First,Individual,1497,117,145,FWD,4440.0,1695.0,1495.0,5.0,40.0,6
Mercedes-Benz,18500000,21000,Petrol,Automatic,Gurgaon,Black,First,Individual,3982,463,700,RWD,5462.0,1899.0,1498.0,4.0,70.0,4
Land Rover,4000000,25500,Diesel,Automatic,Pune,White,Second,Individual,1999,177,430,AWD,4360.0,2120.0,1635.0,5.0,57.0,8
Mahindra,690000,157662,Diesel,Manual,Jaipur,Silver,Second,Individual,1997,138,320,FWD,4585.0,1890.0,1785.0,7.0,70.0,10
Mercedes-Benz,2800000,20000,Diesel,Automatic,Mumbai,Red,First,Individual,2143,136,300,FWD,4630.0,1777.0,1432.0,5.0,56.0,7
Hyundai,525000,78900,Diesel,Manual,Vadodara,Silver,First,Individual,1120,71,160,FWD,3995.0,1660.0,1520.0,5.0,43.0,7
Mercedes-Benz,7780000,11000,Diesel,Automatic,Delhi,Black,First,Individual,1950,192,400,RWD,5063.0,1860.0,1494.0,5.0,80.0,3
Tata,1200000,95785,Diesel,Automatic,Hyderabad,Blue,First,Individual,2179,154,400,RWD,4788.0,1903.0,1791.0,7.0,60.0,8
Ford,620000,92000,Diesel,Manual,Agra,Brown,First,Individual,1498,99,205,FWD,3998.0,1765.0,1647.0,5.0,52.0,8
Jaguar,5200000,43000,Diesel,Automatic,Delhi,Black,First,Individual,1999,177,430,AWD,4731.0,2071.0,1651.0,5.0,82.0,6
Mercedes-Benz,1998999,39328,Diesel,Automatic,Kolkata,Silver,First,Individual,2143,134,300,FWD,4630.0,1777.0,1432.0,5.0,56.0,8
Toyota,2725000,18625,Diesel,Automatic,Mumbai,Bronze,First,Individual,2393,148,360,RWD,4735.0,1830.0,1795.0,7.0,55.0,5
Maruti Suzuki,590000,26000,Petrol,Manual,Lucknow,Blue,First,Individual,1197,83,115,FWD,3850.0,1695.0,1530.0,5.0,42.0,6
MINI,1489000,81000,Diesel,Automatic,Panvel,Purple,Second,Individual,1995,112,270,FWD,4097.0,1789.0,1561.0,5.0,47.0,11
Maruti Suzuki,685000,92000,Diesel,Automatic,Ludhiana,White,First,Individual,1248,74,190,FWD,3995.0,1735.0,1515.0,5.0,37.0,7
Mahindra,1121000,38000,Diesel,Manual,Patna,White,First,Individual,2523,75,200,RWD,4456.0,1820.0,1930.0,7.0,60.0,6
Maruti Suzuki,545000,10340,Petrol,Manual,Delhi,White,First,Individual,998,67,90,FWD,3599.0,1495.0,1700.0,5.0,35.0,6
Audi,1350000,47706,Diesel,Automatic,Ranchi,Black,First,Individual,1968,174,380,AWD,4385.0,1831.0,1608.0,5.0,64.0,10
Maruti Suzuki,1299000,13400,Petrol,Manual,Mysore,White,First,Individual,1462,103,138,FWD,4445.0,1775.0,1700.0,6.0,45.0,4
Ford,450000,44613,Diesel,Manual,Ranchi,Silver,First,Individual,1498,99,215,FWD,3995.0,1695.0,1525.0,5.0,40.0,9
Porsche,9000000,7000,Petrol,Automatic,Faridabad,Red,First,Individual,1988,295,380,RWD,4379.0,1801.0,1295.0,2.0,54.0,8
Maruti Suzuki,550000,29000,Petrol,Manual,Kolkata,Grey,First,Individual,1197,83,115,FWD,3850.0,1695.0,1530.0,5.0,42.0,6
BMW,4390000,23000,Diesel,Automatic,Mumbai,White,First,Corporate,1995,188,400,RWD,4633.0,1811.0,1429.0,5.0,57.0,5
Maruti Suzuki,445000,67580,CNG,Manual,Pune,White,First,Individual,998,58,77,FWD,3599.0,1495.0,1700.0,5.0,35.0,10
Hyundai,495000,42000,Petrol,Manual,Kolkata,Red,First,Individual,1591,121,155,FWD,4375.0,1700.0,1475.0,5.0,43.0,10
Hyundai,360000,16205,Petrol,Manual,Pune,White,First,Individual,998,68,94,FWD,3515.0,1550.0,1510.0,5.0,32.0,10
Maruti Suzuki,345000,92000,Petrol,Automatic,Mohali,Black,Third,Individual,1995,120,170,AWD,4470.0,1810.0,1695.0,5.0,66.0,18
Hyundai,565000,29000,Petrol,Automatic,Mumbai,Silver,First,Individual,1197,79,112,FWD,3765.0,1660.0,1520.0,5.0,43.0,9
Mercedes-Benz,9390000,14000,Diesel,Automatic,Delhi,White,First,Individual,1950,241,500,AWD,4924.0,2157.0,1772.0,5.0,93.0,3
Mahindra,615000,69000,Diesel,Automatic,Delhi,Black,First,Individual,1493,100,240,RWD,3995.0,1835.0,1839.0,7.0,60.0,8
Honda,525000,114635,Diesel,Manual,Kolkata,Grey,First,Individual,1498,99,200,FWD,4440.0,1695.0,1495.0,5.0,40.0,10
BMW,2650000,50000,Diesel,Automatic,Delhi,Blue,Second,Individual,1995,184,350,RWD,4454.0,2044.0,1545.0,5.0,63.0,7
BMW,3785000,29221,Diesel,Automatic,Bangalore,Blue,First,Individual,1995,184,350,RWD,4454.0,2044.0,1545.0,5.0,63.0,6
Audi,1175000,77000,Diesel,Automatic,Mumbai,Blue,Second,Individual,1968,177,380,FWD,4915.0,1874.0,1455.0,5.0,65.0,13
Mercedes-Benz,6400000,5500,Diesel,Automatic,Hyderabad,White,UnRegistered Car,Individual,1950,192,400,AWD,4658.0,1890.0,1644.0,5.0,66.0,3
BMW,1450000,70000,Diesel,Automatic,Mumbai,Blue,Second,Individual,1995,184,380,RWD,4624.0,2031.0,1429.0,5.0,60.0,12
Honda,1390000,32000,Petrol,Automatic,Delhi,Brown,First,Individual,1498,119,145,FWD,4549.0,1748.0,1489.0,5.0,40.0,3
Ferrari,35000000,9500,Petrol,Automatic,Delhi,Black,First,Individual,3902,660,760,RWD,4568.0,1952.0,1213.0,2.0,78.0,7
Volkswagen,2990000,17904,Diesel,Automatic,Mumbai,White,First,Individual,1968,141,340,AWD,4486.0,1839.0,1672.0,5.0,71.0,5
Land Rover,2150000,95000,Diesel,Automatic,Coimbatore,White,First,Individual,2179,190,420,AWD,4355.0,2120.0,1635.0,5.0,57.0,13
Mercedes-Benz,8500000,25275,Petrol,Automatic,Hyderabad,Black,First,Individual,2996,362,520,AWD,4891.0,2003.0,1719.0,5.0,93.0,7
Maruti Suzuki,400000,67850,CNG,Manual,Mumbai,Red,First,Individual,998,58,77,FWD,3599.0,1495.0,1700.0,5.0,35.0,9
Tata,49000,60000,Petrol,Manual,Gurgaon,White,First,Individual,624,35,48,RWD,3099.0,1495.0,1652.0,4.0,15.0,15
Maruti Suzuki,610000,105000,Diesel,Manual,Pune,Silver,First,Corporate,1248,74,190,FWD,3850.0,1695.0,1530.0,5.0,42.0,8
Hyundai,1075000,45000,Petrol,Automatic,Raipur,White,First,Individual,1591,122,151,FWD,4270.0,1780.0,1665.0,5.0,55.0,6
Mercedes-Benz,7500000,8000,Diesel,Automatic,Bangalore,White,First,Individual,1950,192,400,RWD,5063.0,1860.0,1494.0,5.0,80.0,4
Toyota,1321000,38000,Petrol,Automatic,Mumbai,Gold,First,Corporate,1798,138,173,FWD,4620.0,1775.0,1475.0,5.0,55.0,7
Maruti Suzuki,950000,55055,Diesel,Manual,Ludhiana,White,First,Individual,1248,89,200,FWD,4300.0,1785.0,1595.0,5.0,48.0,5
Maruti Suzuki,825000,22000,Petrol,Manual,Raipur,Blue,First,Individual,1197,83,115,FWD,3995.0,1745.0,1500.0,5.0,37.0,4
Mitsubishi,1300000,95000,Diesel,Manual,Bangalore,Blue,Second,Individual,2477,176,400,AWD,4695.0,1815.0,1840.0,7.0,70.0,12
Maruti Suzuki,465000,25704,Petrol,Manual,Mumbai,Red,First,Individual,1197,85,114,FWD,3850.0,1695.0,1530.0,5.0,42.0,11
Maruti Suzuki,475000,55353,Diesel,Manual,Kanpur,Grey,Second,Individual,1248,74,190,FWD,3995.0,1695.0,1555.0,5.0,42.0,9
Audi,1775000,80000,Diesel,Automatic,Chennai,Silver,First,Individual,1968,174,380,AWD,4385.0,1831.0,1608.0,5.0,64.0,10
Volkswagen,825000,62000,Petrol,Automatic,Faridabad,Brown,First,Corporate,1197,103,175,FWD,4390.0,1699.0,1467.0,5.0,55.0,7
Ford,3450000,41526,Diesel,Automatic,Coimbatore,Silver,First,Individual,3198,197,470,AWD,4892.0,1860.0,1837.0,7.0,80.0,6
Tata,379000,29434,Petrol,Manual,Kolkata,Silver,Second,Individual,1047,69,140,FWD,3746.0,1647.0,1535.0,5.0,35.0,7
Datsun,240000,42000,Petrol,Manual,Lucknow,White,First,Individual,1198,67,104,FWD,3785.0,1635.0,1485.0,5.0,35.0,8
Kia,1525000,14000,Petrol,Manual,Delhi,Black,First,Individual,1497,114,144,FWD,4315.0,1800.0,1645.0,5.0,50.0,4
BMW,1400000,35000,Diesel,Automatic,Kolkata,Brown,First,Individual,1995,184,380,RWD,4624.0,2031.0,1429.0,5.0,60.0,11
Mercedes-Benz,2450000,61000,Diesel,Automatic,Mumbai,Gold,Second,Individual,2143,134,300,FWD,4424.0,1804.0,1494.0,5.0,50.0,7
Mercedes-Benz,1789999,45000,Diesel,Automatic,Lucknow,White,First,Individual,2143,134,300,FWD,4417.0,1804.0,1494.0,5.0,50.0,10
Mercedes-Benz,4275000,31000,Diesel,Automatic,Delhi,Blue,First,Individual,1950,192,400,RWD,4686.0,1810.0,1442.0,5.0,66.0,6
Hyundai,775000,39000,Petrol,Manual,Mumbai,White,First,Individual,1197,82,115,FWD,3995.0,1775.0,1505.0,5.0,37.0,5
Maruti Suzuki,229999,52000,Petrol,Manual,Pune,White,First,Individual,998,67,90,FWD,3600.0,1495.0,1595.0,5.0,35.0,13
Hyundai,300000,51000,Petrol,Manual,Kanpur,White,First,Individual,814,55,75,FWD,3495.0,1550.0,1500.0,5.0,32.0,7
Maruti Suzuki,160000,72000,Petrol,Manual,Kanpur,Silver,First,Individual,998,67,90,FWD,3545.0,1490.0,1475.0,5.0,35.0,14
Mercedes-Benz,8300000,50000,Diesel,Automatic,Navi Mumbai,White,First,Individual,1950,241,500,AWD,4924.0,2157.0,1772.0,5.0,93.0,5
Audi,1685000,80251,Diesel,Automatic,Delhi,Blue,Second,Individual,1968,174,380,AWD,4385.0,1831.0,1608.0,5.0,64.0,9
Hyundai,270000,86000,Petrol,Manual,Chennai,Grey,Second,Individual,1197,80,111,FWD,3565.0,1595.0,1550.0,5.0,35.0,15
Maruti Suzuki,210000,42505,Petrol,Manual,Purnea,Red,First,Individual,796,47,69,FWD,3395.0,1490.0,1475.0,5.0,35.0,11
Hyundai,625000,42000,Petrol,Manual,Patna,Silver,First,Individual,1197,82,115,FWD,3985.0,1734.0,1505.0,5.0,45.0,8
BMW,6900000,42200,Diesel,Automatic,Mumbai,Black,First,Individual,2993,262,620,RWD,5219.0,1902.0,1481.0,4.0,78.0,8
Kia,1490000,57600,Petrol,Automatic,Chennai,White,First,Individual,1353,138,242,FWD,4315.0,1800.0,1645.0,5.0,50.0,6
Mahindra,1095000,57000,Diesel,Manual,Lucknow,Black,First,Individual,2179,153,360,FWD,4585.0,1890.0,1785.0,7.0,70.0,7
Ford,850000,85000,Diesel,Automatic,Zirakpur,Black,First,Individual,2953,154,380,AWD,5060.0,1788.0,1826.0,7.0,71.0,11
Hyundai,1600000,128000,Diesel,Automatic,Pune,White,Second,Corporate,1995,182,400,FWD,4475.0,1850.0,1660.0,5.0,62.0,9
Toyota,265000,66000,Petrol,Manual,Delhi,Black,First,Individual,1496,80,132,FWD,4265.0,1695.0,1510.0,5.0,45.0,14
Volkswagen,360000,58000,Petrol,Manual,Chandigarh,Bronze,First,Individual,1598,103,153,FWD,4384.0,1699.0,1466.0,5.0,55.0,12
Toyota,1485000,64120,Diesel,Manual,Delhi,White,Second,Individual,2982,169,343,RWD,4705.0,1840.0,1850.0,7.0,80.0,10
Maruti Suzuki,800000,82300,Petrol,Manual,Pune,White,First,Individual,1373,91,130,FWD,4490.0,1730.0,1485.0,5.0,43.0,8
Maruti Suzuki,710000,73000,Diesel,Manual,Lucknow,White,First,Individual,1248,89,200,FWD,3995.0,1790.0,1640.0,5.0,48.0,8
Maruti Suzuki,710000,72000,Diesel,Manual,Lucknow,Blue,First,Individual,1598,118,320,FWD,4300.0,1765.0,1590.0,5.0,48.0,7
Volkswagen,720000,50197,Petrol,Manual,Pune,Grey,First,Individual,999,75,95,FWD,3971.0,1682.0,1469.0,5.0,45.0,7
Honda,395000,44527,Petrol,Manual,Mumbai,Brown,First,Individual,1198,87,109,FWD,3990.0,1680.0,1505.0,5.0,35.0,11
Audi,2799000,72400,Diesel,Automatic,Bangalore,White,First,Individual,1968,188,400,FWD,4726.0,1842.0,1427.0,5.0,54.0,8
Ford,455000,50000,Petrol,Manual,Delhi,White,Second,Individual,1499,109,140,FWD,3999.0,1765.0,1708.0,5.0,52.0,11
Honda,690000,37000,Petrol,Manual,Delhi,White,First,Individual,1497,117,145,FWD,4440.0,1695.0,1495.0,5.0,40.0,11
Mercedes-Benz,13000000,20000,Diesel,Automatic,Delhi,Blue,First,Individual,2925,326,700,AWD,5207.0,2157.0,1823.0,7.0,90.0,4
Tata,1995000,8000,Diesel,Automatic,Bhubaneswar,Black,First,Individual,1956,168,350,FWD,4598.0,1894.0,1706.0,5.0,50.0,5
BMW,1750000,69000,Diesel,Automatic,Jalandhar,White,Second,Individual,1995,190,400,RWD,4899.0,2094.0,1464.0,5.0,65.0,11
BMW,2900000,25000,Diesel,Automatic,Delhi,White,First,Individual,1995,184,350,RWD,4454.0,2044.0,1545.0,5.0,63.0,6
BMW,4500000,17000,Diesel,Automatic,Mumbai,White,First,Individual,1995,184,350,RWD,4454.0,2044.0,1545.0,5.0,63.0,3
Honda,450000,61000,Petrol,Manual,Delhi,Maroon,First,Individual,1497,116,146,FWD,4440.0,1695.0,1485.0,5.0,42.0,12
BMW,2149000,69000,Diesel,Automatic,Delhi,Silver,First,Individual,1995,188,400,RWD,4936.0,1868.0,1479.0,5.0,65.0,10
Mercedes-Benz,4200000,77000,Diesel,Automatic,Chennai,Black,Second,Individual,2987,258,619,AWD,5120.0,1934.0,1850.0,7.0,100.0,10
Tata,860000,82200,Diesel,Manual,Pune,Grey,First,Individual,1497,108,260,FWD,3994.0,1811.0,1607.0,5.0,44.0,7
Honda,875000,28000,Petrol,Manual,Delhi,Silver,First,Individual,1497,117,145,FWD,4440.0,1695.0,1495.0,5.0,40.0,7
Mahindra,580000,117000,Diesel,Manual,Salem,White,Second,Individual,2179,122,290,AWD,4430.0,1817.0,1975.0,7.0,60.0,14
MG,3500000,7900,Diesel,Automatic,Hyderabad,Black,First,Individual,1996,215,480,AWD,4985.0,1926.0,1867.0,6.0,75.0,4
Maruti Suzuki,229999,72000,Petrol,Manual,Kanpur,Silver,First,Individual,1298,87,113,FWD,4160.0,1690.0,1530.0,5.0,43.0,15
Audi,1513000,79000,Diesel,Automatic,Ahmedabad,Blue,Second,Individual,1968,174,380,AWD,4385.0,1831.0,1608.0,5.0,64.0,10
Maruti Suzuki,234000,72600,Petrol,Manual,Panchkula,White,First,Individual,998,67,90,FWD,3620.0,1475.0,1460.0,5.0,35.0,12
Datsun,320000,42313,Petrol,Automatic,Bangalore,Grey,Second,Individual,999,67,91,FWD,3429.0,1560.0,1541.0,5.0,28.0,7
BMW,5975000,18000,Diesel,Automatic,Delhi,White,First,Individual,1995,190,400,AWD,4657.0,1881.0,1678.0,5.0,67.0,4
Maruti Suzuki,1025000,90000,Diesel,Manual,Hyderabad,White,First,Individual,1248,89,200,FWD,3995.0,1790.0,1640.0,5.0,48.0,6
Maruti Suzuki,630000,36000,Diesel,Manual,Patna,Blue,First,Individual,1248,74,190,FWD,3995.0,1735.0,1515.0,5.0,37.0,8
Hyundai,1090000,26200,Petrol,Automatic,Delhi,White,First,Individual,998,118,172,FWD,3995.0,1770.0,1605.0,5.0,45.0,5
Maruti Suzuki,700000,11000,Petrol,Manual,Chennai,Silver,Second,Individual,1197,82,113,FWD,3840.0,1735.0,1530.0,5.0,37.0,6
Maruti Suzuki,661000,14366,Petrol,Manual,Ahmedabad,Others,First,Individual,1197,89,113,FWD,3845.0,1735.0,1530.0,5.0,37.0,4
Mahindra,565000,65000,Diesel,Manual,Delhi,Red,Second,Individual,1493,84,230,RWD,3995.0,1835.0,1839.0,7.0,60.0,8
Toyota,750000,126000,Diesel,Manual,Delhi,Silver,First,Individual,2494,100,200,RWD,4585.0,1760.0,1760.0,7.0,55.0,11
Audi,1850000,71700,Diesel,Automatic,Navi Mumbai,White,Second,Individual,1968,174,380,AWD,4385.0,1831.0,1608.0,5.0,64.0,10
Mahindra,850000,114000,Diesel,Manual,Lucknow,White,First,Individual,2179,138,330,FWD,4585.0,1890.0,1785.0,7.0,70.0,9
Hyundai,535000,58339,Diesel,Manual,Panchkula,Grey,First,Individual,1396,89,220,FWD,3985.0,1734.0,1505.0,5.0,45.0,9
Maruti Suzuki,770000,72040,Diesel,Automatic,Pune,Silver,First,Individual,1248,74,190,FWD,3995.0,1735.0,1515.0,5.0,37.0,6
BMW,3650000,6000,Petrol,Automatic,Delhi,White,First,Individual,1998,248,350,RWD,4633.0,1811.0,1429.0,5.0,57.0,6
Kia,1195000,6200,Petrol,Manual,Kolkata,Red,First,Individual,998,118,172,FWD,3995.0,1790.0,1647.0,5.0,45.0,3
Mercedes-Benz,1650000,44000,Petrol,Automatic,Mumbai,Silver,Third,Individual,5461,368,505,RWD,5226.0,2120.0,1479.0,5.0,90.0,13
Skoda,3199000,6900,Petrol,Automatic,Kolkata,Brown,First,Individual,1798,177,250,FWD,4861.0,1864.0,1483.0,5.0,66.0,4
Mercedes-Benz,7100000,2500,Petrol,Automatic,Noida,Grey,First,Individual,1991,194,300,RWD,5063.0,1860.0,1494.0,5.0,80.0,3
Volkswagen,625000,68000,Petrol,Automatic,Delhi,White,First,Individual,1197,103,175,FWD,3971.0,1682.0,1469.0,5.0,45.0,9
Maruti Suzuki,745000,36000,Diesel,Manual,Patna,White,First,Individual,1248,89,200,FWD,3995.0,1790.0,1640.0,5.0,48.0,7
Hyundai,551000,19000,Petrol,Manual,Ahmedabad,White,First,Individual,1086,68,99,FWD,3610.0,1645.0,1560.0,5.0,35.0,4
Mercedes-Benz,5950000,10000,Diesel,Automatic,Chennai,White,First,Individual,1950,192,400,RWD,5063.0,1860.0,1494.0,5.0,80.0,6
Land Rover,22000000,35000,Diesel,Automatic,Pune,Blue,First,Individual,2993,244,600,AWD,4999.0,2220.0,1835.0,5.0,105.0,6
MINI,3300000,6400,Diesel,Automatic,Delhi,Red,First,Individual,1496,114,270,FWD,3821.0,1727.0,1414.0,5.0,44.0,6
Ford,3250000,34000,Diesel,Automatic,Chennai,White,First,Individual,3198,197,470,AWD,4903.0,1869.0,1837.0,7.0,80.0,6
Renault,690000,35000,Diesel,Automatic,Delhi,Grey,Second,Individual,1461,108,248,FWD,4315.0,1822.0,1695.0,5.0,50.0,9
Maruti Suzuki,894999,46000,Diesel,Automatic,Mumbai,White,First,Individual,1248,89,200,FWD,3995.0,1790.0,1640.0,5.0,48.0,6
Skoda,550000,83000,Diesel,Manual,Chandigarh,White,First,Individual,1598,105,250,FWD,4386.0,1699.0,1466.0,5.0,55.0,9
Ford,399000,54000,Diesel,Manual,Mumbai,Orange,Third,Individual,1498,89,204,FWD,3999.0,1765.0,1708.0,5.0,52.0,12
Kia,1275000,42000,Petrol,Manual,Ahmedabad,Black,First,Individual,1497,113,144,FWD,4315.0,1800.0,1645.0,5.0,50.0,5
Maruti Suzuki,535000,41441,Petrol,Manual,Bangalore,Silver,First,Individual,1196,73,101,RWD,3675.0,1475.0,1800.0,5.0,40.0,5
Maruti Suzuki,825000,48174,Diesel,Manual,Thane,White,First,Individual,1248,89,200,FWD,3995.0,1790.0,1640.0,5.0,48.0,7
Ford,585000,62591,Diesel,Manual,Mumbai,Silver,First,Individual,1498,99,205,FWD,3998.0,1765.0,1647.0,5.0,52.0,9
Honda,675000,48650,Petrol,Automatic,Mumbai,Brown,First,Individual,1199,89,110,FWD,3955.0,1694.0,1544.0,5.0,40.0,8
Maruti Suzuki,795000,52245,Diesel,Manual,Pune,Brown,First,Individual,1248,89,200,FWD,4300.0,1785.0,1595.0,5.0,48.0,8
Mercedes-Benz,6500000,7500,Petrol,Automatic,Delhi,Black,First,Individual,1991,194,300,RWD,5063.0,1860.0,1494.0,5.0,80.0,4
Hyundai,611000,65000,Diesel,Manual,Kheda,White,First,Individual,1396,89,220,FWD,3985.0,1734.0,1505.0,5.0,45.0,8
Maruti Suzuki,390000,43297,Petrol,Manual,Kollam,Red,First,Individual,998,67,90,FWD,3599.0,1495.0,1700.0,5.0,35.0,10
Maruti Suzuki,650000,44710,Petrol,Manual,Pune,White,First,Individual,1197,83,115,FWD,3850.0,1695.0,1530.0,5.0,42.0,6
Renault,390000,62000,Diesel,Manual,Lucknow,Silver,First,Individual,1461,108,240,FWD,4618.0,1813.0,1488.0,5.0,67.0,12
Audi,2400000,59267,Diesel,Automatic,Kolkata,Silver,First,Individual,1968,188,400,FWD,4726.0,1842.0,1427.0,5.0,54.0,8
Maruti Suzuki,385000,69000,Petrol,Manual,Hyderabad,Silver,First,Individual,1197,85,114,FWD,3850.0,1695.0,1530.0,5.0,42.0,14
Maruti Suzuki,450000,75000,Petrol,Manual,Kanpur,White,First,Commercial Registration,1197,83,115,FWD,3995.0,1695.0,1555.0,5.0,42.0,8
Hyundai,649000,52236,Petrol,Manual,Udupi,Silver,First,Individual,1197,81,114,FWD,3765.0,1660.0,1520.0,5.0,43.0,5
Audi,2900000,15530,Diesel,Automatic,Goa,White,First,Individual,1968,141,320,FWD,4456.0,1796.0,1416.0,5.0,50.0,6
Maruti Suzuki,400000,64000,Diesel,Manual,Agra,White,First,Individual,1248,74,190,FWD,3995.0,1695.0,1555.0,5.0,42.0,11
Hyundai,599000,35000,Petrol,Automatic,Kolkata,Silver,First,Individual,1197,82,114,FWD,3805.0,1680.0,1520.0,5.0,37.0,5
Toyota,2980000,92000,Diesel,Manual,Lucknow,Black,First,Individual,2755,174,420,RWD,4795.0,1855.0,1835.0,7.0,80.0,6
Audi,3500000,18000,Petrol,Automatic,Mumbai,White,First,Individual,1395,148,250,FWD,4726.0,1842.0,1427.0,5.0,54.0,7
Honda,400000,50000,Petrol,Manual,Kolkata,Red,First,Individual,1199,89,110,FWD,3955.0,1694.0,1544.0,5.0,40.0,9
Mercedes-Benz,6975000,2000,Petrol,Automatic,Karnal,White,First,Individual,1991,194,320,RWD,4658.0,1890.0,1644.0,5.0,66.0,3
Mercedes-Benz,5400000,16000,Diesel,Automatic,Karnal,White,First,Individual,2143,201,500,AWD,4819.0,2141.0,1796.0,5.0,93.0,9
Mercedes-Benz,3700000,103890,Diesel,Automatic,Lucknow,Black,Second,Individual,2987,258,619,AWD,5120.0,1934.0,1850.0,7.0,100.0,10
Maruti Suzuki,445000,71000,Petrol,Manual,Ludhiana,White,First,Individual,998,67,90,FWD,3600.0,1600.0,1560.0,5.0,35.0,7
Mahindra,1475000,12000,Diesel,Manual,Ludhiana,Red,First,Individual,2184,130,300,AWD,3985.0,1820.0,1844.0,4.0,57.0,4
Toyota,2800000,93000,Diesel,Automatic,Mohali,White,First,Individual,2755,174,450,RWD,4795.0,1855.0,1835.0,7.0,80.0,9
Maruti Suzuki,600000,10000,Petrol,Manual,Meerut,White,First,Individual,1197,83,115,FWD,3850.0,1695.0,1530.0,5.0,42.0,5
Kia,1835000,33828,Diesel,Automatic,Mumbai,White,First,Individual,1493,114,250,FWD,4315.0,1800.0,1645.0,5.0,50.0,5
Maruti Suzuki,550000,48000,CNG,Manual,Mumbai,Silver,First,Individual,998,58,78,FWD,3655.0,1620.0,1675.0,5.0,60.0,6
Maruti Suzuki,715000,71000,Diesel,Manual,Delhi,Red,First,Individual,1248,89,200,FWD,3995.0,1790.0,1640.0,5.0,48.0,8
Mahindra,2540000,18000,Diesel,Automatic,Delhi,White,First,Individual,2184,182,450,FWD,4695.0,1890.0,1755.0,7.0,60.0,3
Maruti Suzuki,525000,50000,CNG,Manual,Delhi,Grey,First,Individual,998,58,78,FWD,3655.0,1620.0,1675.0,5.0,60.0,6
Hyundai,425000,48000,Petrol,Manual,Delhi,Silver,First,Individual,1197,81,114,FWD,3765.0,1660.0,1520.0,5.0,43.0,10
Hyundai,795000,4000,Petrol,Automatic,Kanpur,White,First,Individual,1197,87,115,FWD,3995.0,1775.0,1505.0,5.0,37.0,3
Honda,269000,73000,Petrol,Manual,Delhi,Silver,Second,Individual,1497,118,146,FWD,4420.0,1695.0,1480.0,5.0,42.0,15
Hyundai,565000,68000,Diesel,Manual,Lucknow,White,First,Individual,1582,128,260,FWD,4370.0,1700.0,1475.0,5.0,43.0,11
BMW,2550000,70000,Diesel,Automatic,Coimbatore,Blue,Second,Individual,1995,190,400,RWD,4899.0,2094.0,1464.0,5.0,65.0,10
Hyundai,529000,57654,Petrol,Manual,Zirakpur,White,First,Individual,1197,82,115,FWD,3995.0,1760.0,1555.0,5.0,45.0,10
Maruti Suzuki,400000,22000,Petrol,Manual,Ludhiana,White,First,Individual,998,67,90,FWD,3545.0,1490.0,1475.0,5.0,35.0,6
Maruti Suzuki,975000,41792,Petrol,Manual,Pune,Blue,First,Individual,1462,103,138,FWD,4445.0,1775.0,1700.0,6.0,45.0,6
BMW,2600000,41000,Diesel,Automatic,Hyderabad,Blue,First,Individual,1995,188,400,FWD,4439.0,1821.0,1612.0,5.0,51.0,8
Mercedes-Benz,2390000,107021,Diesel,Automatic,Delhi,White,Second,Individual,2987,258,619,AWD,5120.0,1934.0,1850.0,7.0,100.0,12
Kia,1550000,17000,Petrol,Manual,Bangalore,White,First,Individual,1353,138,242,FWD,4315.0,1800.0,1645.0,5.0,50.0,6
Maruti Suzuki,430000,57993,Petrol,Automatic,Hyderabad,White,First,Individual,998,67,90,FWD,3545.0,1490.0,1475.0,5.0,35.0,6
Maruti Suzuki,600000,32000,Petrol,Manual,Mohali,Silver,First,Individual,1197,83,115,FWD,3995.0,1745.0,1500.0,5.0,37.0,7
Toyota,1650000,25914,Petrol,Automatic,Pune,Brown,First,Corporate,1798,138,173,FWD,4620.0,1775.0,1475.0,5.0,55.0,7
Audi,9400000,4500,Petrol,Automatic,Delhi,Black,First,Individual,2995,335,500,AWD,5064.0,1970.0,1703.0,7.0,85.0,3
Maruti Suzuki,250000,114000,Petrol,Manual,Aurangabad,White,Second,Individual,998,67,90,FWD,3620.0,1475.0,1460.0,5.0,35.0,11
Mahindra,994999,105000,Diesel,Automatic,Mumbai,Grey,Second,Individual,2179,138,330,FWD,4585.0,1890.0,1785.0,7.0,70.0,9
Maruti Suzuki,675000,45000,Diesel,Manual,Jalandhar,Red,First,Individual,1248,89,200,FWD,3995.0,1790.0,1640.0,5.0,48.0,9
Maruti Suzuki,455000,30183,Petrol,Manual,Mumbai,Grey,First,Individual,1197,85,114,FWD,3995.0,1695.0,1555.0,5.0,42.0,11
Maruti Suzuki,345000,73190,Petrol,Manual,Nagpur,Grey,Second,Individual,998,67,90,FWD,3599.0,1495.0,1700.0,5.0,35.0,9
BMW,4700000,13120,Petrol,Automatic,Pune,White,First,Individual,1998,189,280,FWD,4447.0,1821.0,1598.0,5.0,51.0,3
Hyundai,700000,64000,Petrol,Manual,Dehradun,White,First,Individual,1797,147,177,FWD,4530.0,1775.0,1470.0,5.0,56.0,11
